,1 and 40 - frame 0,1 and 40 - frame 1,1 and 40 - frame 2,1 and 40 - frame 3,1 and 40 - frame 4
molecule 85,-0.024947709673416318,-0.02516974567800803,-0.02308494927009891,-0.020766686451834725,-0.020017277515484676
molecule 86,-0.3066331966054001,-0.3212979886158432,-0.3237418146186826,-0.3180408387846481,-0.3259512597448097
molecule 87,-0.07226257859768072,-0.07055638159671324,-0.07194291254802336,-0.07560103179913678,-0.07778155111665372
molecule 88,0.02370402552504866,0.02720491619061992,0.031001781238311505,0.03332397531825382,0.033305169054510426
molecule 89,-0.03541412462308884,-0.03587065356640327,-0.0355673523459762,-0.034725087145129,-0.034311533200863734
molecule 90,-4.1745516831763645,-4.350017254991675,-4.59659195558879,-4.734027242285514,-4.6597624772585755
molecule 91,0.02651085834726176,0.02929426535402923,0.03364248986130534,0.03572842527135271,0.03622436364739362
molecule 92,-1.0304051551159528,-1.0362031540542986,-1.038940267230719,-1.0403038528230146,-1.050341359275643
molecule 93,-0.013437019525026185,0.009354465346039856,0.02894646056451472,0.04256075939994489,0.05616009494362109
molecule 94,-0.0001227665419815862,0.00034384849439070774,0.00015528632311017894,-0.00016917151663372915,-1.1223634583862113e-05
molecule 95,0.01490191244953079,0.016515758106672336,0.015737332338018495,0.014039478295932425,0.014172717631467577
molecule 96,-0.4577552703023465,-0.4278353158797201,-0.4017855432331407,-0.3923166730008407,-0.40092454030988955
molecule 97,0.15188176127693512,0.15205747476190967,0.14702969358670634,0.14447786915682234,0.1437025415609416
molecule 98,0.2637830794075731,0.2308852506444743,0.21224068010543762,0.20834060146186917,0.19789993170763567
molecule 99,0.46255858509973363,0.4908269420331152,0.5048490152200373,0.48269150867606203,0.4516902997873578
molecule 100,1.3462509006931092,1.330422259935688,1.3374918844874824,1.4763515456932563,1.638938686341212
molecule 101,-0.006537315323402784,-0.006302736727402838,-0.0037633513225220194,-0.0005099754271190883,0.0007906167259320146
molecule 102,-0.9604175546048331,-0.925246199092375,-0.850411152194209,-0.7115942554494934,-0.5950298441148458
molecule 103,0.01933577250034638,0.019285322706795206,0.019350972839477162,0.019169137416036795,0.018868102668240818
molecule 104,0.023950342137901634,0.024130884787243373,0.02469809262660272,0.024852508129126514,0.024297164276530597
molecule 105,-0.692057524639539,-0.6370215112145237,-0.6265953695233907,-0.6317094660713464,-0.5999976811495358
molecule 106,-0.3034197886331516,-0.24345801630125272,-0.201978307814476,-0.16611240235700894,-0.09235806884290916
molecule 107,0.006832707146721652,0.0075667077545533735,0.00879675615435285,0.01139231899459732,0.012771074381307096
molecule 108,0.054778376785427914,0.052657590966452436,0.049448394519658594,0.05076569226198316,0.05656232894672545
molecule 109,-0.07611522863190734,-0.07634598273327725,-0.08032693618648155,-0.08230121133730402,-0.08238066059951119
molecule 110,-17.378493454435777,-16.79801673646753,-16.58674710307837,-15.086890796036565,-12.956664872639502
molecule 111,-0.007305734789685031,-0.01476234360170178,-0.023552568189043485,-0.029620645168559164,-0.0342227995577774
